BC_name	SampleID
barcode01_barcode01	NT001
barcode01_barcode02	NT002
barcode01_barcode03	NT003
barcode01_barcode04	NT004
barcode01_barcode05	NT005
barcode01_barcode06	NT006
barcode01_barcode07	NT007
barcode01_barcode08	NT008
barcode01_barcode09	NT009
barcode01_barcode10	NT010
barcode01_barcode11	NT011
barcode01_barcode12	NT012
barcode01_barcode13	NT013
barcode01_barcode14	NT014
barcode01_barcode15	NT015
barcode01_barcode16	NT016
barcode02_barcode01	NT017
barcode02_barcode02	NT018
barcode02_barcode03	NT019
barcode02_barcode04	NT020
barcode02_barcode05	NT021
barcode02_barcode06	NT022
barcode02_barcode07	NT023
barcode02_barcode08	NT024
barcode02_barcode09	NT025
barcode02_barcode10	NT026
barcode02_barcode11	NT027
barcode02_barcode12	NT028
barcode02_barcode13	NT029
barcode02_barcode14	NT030
barcode02_barcode15	NT031
barcode02_barcode16	NT032
barcode03_barcode01	NT033
barcode03_barcode02	NT034
barcode03_barcode03	NT035
barcode03_barcode04	NT036
barcode03_barcode05	NT037
barcode03_barcode06	NT038
barcode03_barcode07	NT039
barcode03_barcode08	NT040
barcode03_barcode09	NT041
barcode03_barcode10	NT042
barcode03_barcode11	NT043
barcode03_barcode12	NT044
barcode03_barcode13	NT045
barcode03_barcode14	NT046
barcode03_barcode15	NT047
barcode03_barcode16	NT048
barcode04_barcode01	NT049
barcode04_barcode02	NT050
barcode04_barcode03	NT051
barcode04_barcode04	NT052
barcode04_barcode05	NT053
barcode04_barcode06	NT054
barcode04_barcode07	NT055
barcode04_barcode08	NT056
barcode04_barcode09	NT057
barcode04_barcode10	NT058
barcode04_barcode11	NT059
barcode04_barcode12	NT060
barcode04_barcode13	NT061
barcode04_barcode14	NT062
barcode04_barcode15	NT063
barcode04_barcode16	NT064
barcode05_barcode01	NT065
barcode05_barcode02	NT066
barcode05_barcode03	NT067
barcode05_barcode04	NT068
barcode05_barcode05	NT069
barcode05_barcode06	NT070
barcode05_barcode07	NT071
barcode05_barcode08	NT072
barcode05_barcode09	NT073
barcode05_barcode10	NT074
barcode05_barcode11	NT075
barcode05_barcode12	NT076
barcode05_barcode13	NT077
barcode05_barcode14	NT078
barcode05_barcode15	NT079
barcode05_barcode16	NT080
barcode06_barcode01	NT081
barcode06_barcode02	NT082
barcode06_barcode03	NT083
barcode06_barcode04	NT084
barcode06_barcode05	NT085
